...1,SoundOrthography,Arpabet,Klattbet,List,Contrast,Source
1,boin,B OY N,bOn,High,Bigram,Novel
2,boir,B OY R,bOr,Low,Bigram,Novel
3,bois,B OY S,bOs,High,Bigram,Novel
4,bun,B UH N,bUn,High,Bigram,Novel
5,boor,B UW R,bur,High,Bigram,Novel
6,bus,B UH S,bUs,High,Bigram,Novel
7,baur,B AW R,bWr,High,Bigram,Novel
8,cheidh,CH EY DH,CeD,Low,Bigram,JL
9,cheedh,CH IY DH,CiD,Low,Bigram,JL
10,choib,CH OY B,COb,Low,Bigram,Novel
11,choig,CH OY G,COg,Low,Bigram,Novel
12,choiv,CH OY V,COv,Low,Bigram,Novel
13,choodh,CH UW DH,CuD,Low,Bigram,JL
14,choosh,CH UW SH,CuS,Low,Bigram,JL
15,chooth,CH UW TH,CuT,High,Bigram,JL
16,dheitch,DH EY CH,DeC,Low,Bigram,Novel
17,dheidh,DH EY DH,DeD,Low,Bigram,Novel
18,dheidge,DH EY JH,DeJ,Low,Bigram,Novel
19,dheish,DH EY SH,DeS,Low,Bigram,Novel
20,dheetch,DH IY CH,DiC,Low,Bigram,JL
21,dheedh,DH IY DH,DiD,Low,Bigram,JL
22,dheesh,DH IY SH,DiS,Low,Bigram,JL
23,dheeth,DH IY TH,DiT,Low,Bigram,JL
24,door,D UW R,dur,High,Bigram,Novel
25,dhautch,DH AW CH,DWC,Low,Bigram,Novel
26,dhaudh,DH AW DH,DWD,Low,Bigram,Novel
27,dhauth,DH AW TH,DWT,Low,Bigram,Novel
28,fun,F UH N,fUn,High,Bigram,Novel
29,foor,F UW R,fur,High,Bigram,Novel
30,fus,F UH S,fUs,High,Bigram,Novel
31,faur,F AW R,fWr,Low,Bigram,Novel
32,furr,F AH R,fxr,High,Bigram,Novel
33,gun,G UH N,gUn,High,Bigram,Novel
34,gush,G UH SH,gUS,High,Bigram,Novel
35,guth,G UH TH,gUT,Low,Bigram,Novel
36,gautch,G AW CH,gWC,High,Bigram,JL
37,gaudh,G AW DH,gWD,Low,Bigram,Novel
38,gauth,G AW TH,gWT,Low,Bigram,JL
39,gurr,G AH R,gxr,High,Bigram,Novel
40,hun,HH UH N,hUn,High,Bigram,Novel
41,hoor,HH UW R,hur,High,Bigram,Novel
42,hus,HH UH S,hUs,Low,Bigram,Novel
43,haur,HH AW R,hWr,Low,Bigram,Novel
44,joib,JH OY B,JOb,High,Bigram,Novel
45,jurr,JH AH R,Jxr,Low,Bigram,Novel
46,keng,K EH NG,kEG,Low,Bigram,Novel
47,kesh,K EH SH,kES,High,Bigram,Novel
48,keeb,K IY B,kib,High,Bigram,Novel
49,keetch,K IY CH,kiC,Low,Bigram,Novel
50,keedh,K IY DH,kiD,Low,Bigram,Novel
51,keer,K IY R,kir,High,Bigram,Novel
52,koof,K UW F,kuf,High,Bigram,Novel
53,kum,K UH M,kUm,Low,Bigram,Novel
54,kun,K UH N,kUn,Low,Bigram,Novel
55,kup,K UH P,kUp,High,Bigram,Novel
56,koor,K UW R,kur,High,Bigram,Novel
57,lun,L UH N,lUn,Low,Bigram,Novel
58,lerl,L ER L,lXl,Low,Bigram,Novel
59,maul,M AW L,mWl,High,Bigram,Novel
60,maur,M AW R,mWr,Low,Bigram,Novel
61,maut,M AW T,mWt,High,Bigram,Novel
62,non,N AA N,ncn,High,Bigram,Novel
63,nautch,N AW CH,nWC,High,Bigram,JL
64,naudh,N AW DH,nWD,Low,Bigram,Novel
65,nurr,N AH R,nxr,Low,Bigram,Novel
66,pok,P AA K,pck,Low,Bigram,Novel
67,pop,P AA P,pcp,High,Bigram,Novel
68,pos,P AA S,pcs,High,Bigram,Novel
69,poil,P OY L,pOl,High,Bigram,Novel
70,poim,P OY M,pOm,High,Bigram,Novel
71,poin,P OY N,pOn,High,Bigram,Novel
72,poir,P OY R,pOr,Low,Bigram,Novel
73,pois,P OY S,pOs,High,Bigram,Novel
74,poit,P OY T,pOt,High,Bigram,Novel
75,pook,P UW K,puk,High,Bigram,Novel
76,pum,P UH M,pUm,High,Bigram,Novel
77,pun,P UH N,pUn,High,Bigram,Novel
78,pup,P UH P,pUp,High,Bigram,Novel
79,pus,P UH S,pUs,High,Bigram,Novel
80,poov,P UW V,puv,Low,Bigram,Novel
81,run,R UH N,rUn,High,Bigram,Novel
82,raur,R AW R,rWr,Low,Bigram,Novel
83,shog,SH AA G,Scg,High,Bigram,JL
84,sop,S AA P,scp,High,Bigram,Novel
85,sug,S UH G,sUg,High,Bigram,Novel
86,shug,SH UH G,SUg,High,Bigram,Novel
87,suk,S UH K,sUk,High,Bigram,Novel
88,sum,S UH M,sUm,High,Bigram,Novel
89,sun,S UH N,sUn,High,Bigram,Novel
90,sup,S UH P,sUp,High,Bigram,Novel
91,sus,S UH S,sUs,High,Bigram,Novel
92,shooth,SH UW TH,SuT,High,Bigram,JL
93,saul,S AW L,sWl,High,Bigram,Novel
94,saut,S AW T,sWt,High,Bigram,Novel
95,shurr,SH AH R,Sxr,High,Bigram,Novel
96,thog,TH AA G,Tcg,High,Bigram,JL
97,theedh,TH IY DH,TiD,Low,Bigram,Novel
98,toin,T OY N,tOn,High,Bigram,Novel
99,tun,T UH N,tUn,High,Bigram,Novel
100,thautch,TH AW CH,TWC,Low,Bigram,Novel
101,thaudh,TH AW DH,TWD,Low,Bigram,Novel
102,thauth,TH AW TH,TWT,Low,Bigram,Novel
103,thauz,TH AW Z,TWz,Low,Bigram,Novel
104,veir,V EY R,ver,High,Bigram,Novel
105,wush,W UH SH,wUS,High,Bigram,Novel
106,wuth,W UH TH,wUT,Low,Bigram,Novel
107,waudh,W AW DH,wWD,Low,Bigram,Novel
108,wurr,W AH R,wxr,High,Bigram,Novel
109,yof,Y AA F,ycf,Low,Bigram,Novel
110,yog,Y AA G,ycg,High,Bigram,JL
111,yosh,Y AA SH,ycS,Low,Bigram,JL
112,yeitch,Y EY CH,yeC,Low,Bigram,Novel
113,yeidh,Y EY DH,yeD,Low,Bigram,Novel
114,yeidge,Y EY JH,yeJ,Low,Bigram,Novel
115,yeish,Y EY SH,yeS,Low,Bigram,Novel
116,yeedh,Y IY DH,yiD,Low,Bigram,JL
117,yeedge,Y IY JH,yiJ,Low,Bigram,JL
118,yeesh,Y IY SH,yiS,High,Bigram,JL
119,yug,Y UH G,yUg,Low,Bigram,Novel
120,yoog,Y UW G,yug,Low,Bigram,Novel
121,yuth,Y UH TH,yUT,Low,Bigram,Novel
122,yuz,Y UH Z,yUz,Low,Bigram,Novel
123,yudh,Y AH DH,yxD,Low,Bigram,Novel
124,zeitch,Z EY CH,zeC,Low,Bigram,Novel
125,zeidh,Z EY DH,zeD,Low,Bigram,Novel
126,zeish,Z EY SH,zeS,Low,Bigram,Novel
127,zeetch,Z IY CH,ziC,Low,Bigram,JL
128,zeedh,Z IY DH,ziD,Low,Bigram,JL
129,zeeth,Z IY TH,ziT,High,Bigram,JL
130,zoof,Z UW F,zuf,High,Bigram,Novel
131,zoog,Z UW G,zug,Low,Bigram,Novel
132,zooth,Z UW TH,zuT,High,Bigram,JL
